language,gloss,form,ipa_tokens,cogid,cogid_source,savelyev_cogid,lexstat_cogid,conflict
Azerbaijani,I,dɯrnaɢ,d ɯ r n a ɢ,31,savelyev,31.0,1.0,True
Chuvash,I,ʨɘrne,tɕ ĭ r n e,32,savelyev,32.0,2.0,True
Kazakh,I,tɯrnaq,t ɯ r n a q,31,savelyev,31.0,1.0,True
Turkish,I,tɯrnak,t ɯ r n a k,31,savelyev,31.0,1.0,True
Turkmen,I,dɯrnaq,d ɯ r n a q,31,savelyev,31.0,1.0,True
Uzbek,I,tirnɔq,t i r n ɔ q,31,savelyev,31.0,1.0,True
Yakut,I,tɯŋɯraχ,t ɯ ŋ ɯ r a χ,31,savelyev,31.0,9.0,True
Kyrgyz,I,tɯrmaq,t ɯ r m a q,31,savelyev,31.0,4.0,True
Uyghur,I,tirmaq,t i r m a q,31,savelyev,31.0,4.0,True
Azerbaijani,we,biz,b i z,891,savelyev,891.0,231.0,True
Chuvash,we,ebir,e b i r,891,savelyev,891.0,232.0,True
Kazakh,we,bɘz,b ĭ z,891,savelyev,891.0,231.0,True
Kyrgyz,we,biz,b i z,891,savelyev,891.0,231.0,True
Turkish,we,biz,b i z,891,savelyev,891.0,231.0,True
Turkmen,we,biz,b i z,891,savelyev,891.0,231.0,True
Uyghur,we,biz,b i z,891,savelyev,891.0,231.0,True
Uzbek,we,biz,b i z,891,savelyev,891.0,231.0,True
Yakut,we,bihigi,b i h i g i,891,savelyev,891.0,239.0,True
Azerbaijani,you_2sg,siz,s i z,17,savelyev,17.0,265.0,False
Chuvash,you_2sg,ezir,e z i r,16,savelyev,16.0,265.0,False
Kazakh,you_2sg,sɘzder,s ĭ z d e r,17,savelyev,17.0,265.0,False
Kyrgyz,you_2sg,siler,s i l e r,17,savelyev,17.0,267.0,False
Turkish,you_2sg,siz,s i z,17,savelyev,17.0,265.0,False
Turkmen,you_2sg,siz,s i z,17,savelyev,17.0,265.0,False
Uyghur,you_2sg,siz,s i z,17,savelyev,17.0,265.0,False
Uzbek,you_2sg,sizlar,s i z l a r,16,savelyev,16.0,271.0,False
Yakut,you_2sg,ehigi,e h i g i,17,savelyev,17.0,265.0,False
Azerbaijani,that,dA,d a,557,savelyev,557.0,211.0,True
Chuvash,that,"rA, dA, tA",r a,557,savelyev,557.0,212.0,True
Kyrgyz,that,"dA, tA",d a,558,savelyev,558.0,211.0,True
Turkish,that,"tA, dA",t a,557,savelyev,557.0,211.0,True
Turkmen,that,dA,d a,557,savelyev,557.0,211.0,True
Uyghur,that,"dA, tA",d a,557,savelyev,557.0,211.0,True
Yakut,that,ɣa,ɣ a,557,savelyev,557.0,218.0,True
Azerbaijani,bark,ɢabɯɢ,ɢ a b ɯ ɢ,675,savelyev,675.0,18.0,True
Chuvash,bark,χubə̈,χ u b ə,675,savelyev,675.0,18.0,True
Kazakh,bark,qabɯq,q a b ɯ q,675,savelyev,675.0,18.0,True
Kyrgyz,bark,qabɯq,q a b ɯ q,675,savelyev,675.0,18.0,True
